file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
.wrangler-config/chunks/env_BNqnkDbh.mjs,.wrangler-config/chunks/env_BNqnkDbh.mjs,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
.wrangler-config/chunks/escalations_ebBK1T9u.mjs,.wrangler-config/chunks/escalations_ebBK1T9u.mjs,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
.wrangler-config/chunks/fraud_BFITCOJK.mjs,.wrangler-config/chunks/fraud_BFITCOJK.mjs,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
.wrangler-config/chunks/generate-product-content_CRIbW4oc.mjs,.wrangler-config/chunks/generate-product-content_CRIbW4oc.mjs,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
.wrangler-config/chunks/idempotency_CO3IC1mN.mjs,.wrangler-config/chunks/idempotency_CO3IC1mN.mjs,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
.wrangler-config/chunks/image-passthrough-endpoint_Bil1upTj.mjs,.wrangler-config/chunks/image-passthrough-endpoint_Bil1upTj.mjs,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
.wrangler-config/chunks/image-service-workerd_Kqic3UoW.mjs,.wrangler-config/chunks/image-service-workerd_Kqic3UoW.mjs,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
.wrangler-config/chunks/index_AH1ceJhv.mjs,.wrangler-config/chunks/index_AH1ceJhv.mjs,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
.wrangler-config/chunks/index_B6G4NjUv.mjs,.wrangler-config/chunks/index_B6G4NjUv.mjs,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
.wrangler-config/chunks/index_B6rO3MRI.mjs,.wrangler-config/chunks/index_B6rO3MRI.mjs,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
.wrangler-config/chunks/index_B8vm4GgX.mjs,.wrangler-config/chunks/index_B8vm4GgX.mjs,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
.wrangler-config/chunks/index_BT7bzJl3.mjs,.wrangler-config/chunks/index_BT7bzJl3.mjs,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
